fpr,tpr,threshold
0.0,0.0,inf
0.0,0.36470588235294116,1.0
0.0,0.48,0.9966666666666667
0.0,0.5764705882352941,0.9933333333333333
0.0,0.6305882352941177,0.99
0.0,0.6658823529411765,0.9866666666666667
0.0,0.6988235294117647,0.9833333333333333
0.0,0.7176470588235294,0.98
0.0,0.7388235294117647,0.9766666666666667
0.0,0.7670588235294118,0.9733333333333334
0.0,0.7717647058823529,0.97
0.0,0.7811764705882352,0.9666666666666667
0.0,0.7952941176470588,0.9633333333333334
0.0,0.8117647058823529,0.96
0.0,0.8235294117647058,0.9566666666666667
0.0,0.84,0.9533333333333334
0.0,0.851764705882353,0.95
0.0,0.8541176470588235,0.9466666666666667
0.0,0.8658823529411764,0.9433333333333334
0.0,0.88,0.94
0.0,0.8894117647058823,0.9366666666666666
0.0,0.8988235294117647,0.93
0.0,0.9011764705882352,0.9266666666666666
0.0,0.908235294117647,0.9233333333333333
0.0,0.9105882352941177,0.92
0.0,0.92,0.91
0.0,0.9223529411764706,0.9033333333333333
0.0,0.9317647058823529,0.8933333333333333
0.0,0.9364705882352942,0.8866666666666667
0.0,0.9505882352941176,0.8766666666666667
0.0,0.9529411764705882,0.87
0.0,0.9623529411764706,0.86
0.0,0.9694117647058823,0.8433333333333334
0.0,0.9788235294117648,0.8366666666666667
0.0,0.9858823529411764,0.82
0.0,0.9905882352941177,0.7833333333333333
0.0,1.0,0.6033333333333334
0.011450381679389313,1.0,0.20666666666666667
0.015267175572519083,1.0,0.2
0.022900763358778626,1.0,0.18666666666666668
0.02862595419847328,1.0,0.17333333333333334
0.03244274809160305,1.0,0.17
0.03435114503816794,1.0,0.16333333333333333
0.03816793893129771,1.0,0.15666666666666668
0.04007633587786259,1.0,0.15333333333333332
0.04389312977099236,1.0,0.15
0.05343511450381679,1.0,0.14666666666666667
0.061068702290076333,1.0,0.13333333333333333
0.06870229007633588,1.0,0.12666666666666668
0.07061068702290077,1.0,0.12333333333333334
0.07633587786259542,1.0,0.12
0.08206106870229007,1.0,0.10666666666666667
0.08778625954198473,1.0,0.10333333333333333
0.0916030534351145,1.0,0.09666666666666666
0.09541984732824428,1.0,0.09333333333333334
0.09732824427480916,1.0,0.08666666666666667
0.10687022900763359,1.0,0.08333333333333333
0.11450381679389313,1.0,0.08
0.1183206106870229,1.0,0.07666666666666666
0.12786259541984732,1.0,0.07333333333333333
0.13358778625954199,1.0,0.07
0.14122137404580154,1.0,0.06666666666666667
0.15267175572519084,1.0,0.06
0.16030534351145037,1.0,0.056666666666666664
0.1736641221374046,1.0,0.05333333333333334
0.183206106870229,1.0,0.05
0.1984732824427481,1.0,0.04666666666666667
0.2480916030534351,1.0,0.04
0.26717557251908397,1.0,0.03666666666666667
0.2824427480916031,1.0,0.03333333333333333
0.30725190839694655,1.0,0.03
0.32633587786259544,1.0,0.02666666666666667
0.3377862595419847,1.0,0.023333333333333334
0.3702290076335878,1.0,0.02
0.39122137404580154,1.0,0.016666666666666666
0.4217557251908397,1.0,0.013333333333333334
0.4732824427480916,1.0,0.01
0.5381679389312977,1.0,0.006666666666666667
0.666030534351145,1.0,0.0033333333333333335
1.0,1.0,0.0
