bin_lower,bin_upper,avg_conf,acc,count
0.0,0.06666666666666667,,,0
0.06666666666666667,0.13333333333333333,,,0
0.13333333333333333,0.2,,,0
0.2,0.26666666666666666,,,0
0.26666666666666666,0.3333333333333333,,,0
0.3333333333333333,0.4,,,0
0.4,0.4666666666666667,,,0
0.4666666666666667,0.5333333333333333,,,0
0.5333333333333333,0.6,0.5655555555555555,1.0,6
0.6,0.6666666666666666,0.6257142857142857,1.0,7
0.6666666666666666,0.7333333333333333,0.6915555555555556,1.0,15
0.7333333333333333,0.8,0.77075,1.0,40
0.8,0.8666666666666667,0.835042735042735,1.0,78
0.8666666666666667,0.9333333333333333,0.9015101289134437,1.0,181
0.9333333333333333,1.0,0.9847407407407408,1.0,765
