bin_lower,bin_upper,avg_conf,acc,count
0.0,0.06666666666666667,,,0
0.06666666666666667,0.13333333333333333,,,0
0.13333333333333333,0.2,,,0
0.2,0.26666666666666666,,,0
0.26666666666666666,0.3333333333333333,,,0
0.3333333333333333,0.4,,,0
0.4,0.4666666666666667,,,0
0.4666666666666667,0.5333333333333333,,,0
0.5333333333333333,0.6,0.5858333333333333,1.0,4
0.6,0.6666666666666666,0.6466666666666667,1.0,4
0.6666666666666666,0.7333333333333333,0.7007407407407408,1.0,18
0.7333333333333333,0.8,0.7727956989247313,1.0,31
0.8,0.8666666666666667,0.829375,1.0,64
0.8666666666666667,0.9333333333333333,0.9064242424242426,1.0,110
0.9333333333333333,1.0,0.9845257452574526,1.0,861
